30.00N60.00E,30.00N60.10E,30.00N60.20E,30.00N60.30E,30.00N60.40E,30.00N60.50E,30.00N60.60E,30.00N60.70E,30.00N60.80E,30.00N60.90E,30.00N61.00E,30.00N61.10E,30.00N61.20E,30.00N61.30E,30.00N61.40E,30.00N61.50E,30.00N61.60E,30.00N61.70E,30.00N61.80E,30.00N61.90E,30.00N62.00E,30.00N62.10E,30.00N62.20E,30.00N62.30E,30.00N62.40E,30.00N62.50E,30.00N62.60E,30.00N62.70E,30.00N62.80E,30.00N62.90E,30.00N63.00E,30.00N63.10E,30.00N63.20E,30.00N63.30E,30.00N63.40E,30.00N63.50E,30.00N63.60E,30.00N63.70E,30.00N63.80E,30.00N63.90E,30.00N64.00E,30.00N64.10E,30.00N64.20E,30.00N64.30E,30.00N64.40E,30.00N64.50E,30.00N64.60E,30.00N64.70E,30.00N64.80E,30.00N64.90E,30.00N65.00E,30.00N65.10E,30.00N65.20E,30.00N65.30E,30.00N65.40E,30.00N65.50E,30.00N65.60E,30.00N65.70E,30.00N65.80E,30.00N65.90E,30.00N66.00E,30.00N66.10E,30.00N66.20E,30.00N66.30E,30.00N66.40E,30.00N66.50E,30.00N66.60E,30.00N66.70E,30.00N66.80E,30.00N66.90E,30.00N67.00E,30.00N67.10E,30.00N67.20E,30.00N67.30E,30.00N67.40E,30.00N67.50E,30.00N67.60E,30.00N67.70E,30.00N67.80E,30.00N67.90E,30.00N68.00E,30.00N68.10E,30.00N68.20E,30.00N68.30E,30.00N68.40E,30.00N68.50E,30.00N68.60E,30.00N68.70E,30.00N68.80E,30.00N68.90E,30.00N69.00E,30.00N69.10E,30.00N69.20E,30.00N69.30E,30.00N69.40E,30.00N69.50E,30.00N69.60E,30.00N69.70E,30.00N69.80E,30.00N69.90E,30.00N70.00E,30.00N70.10E,30.00N70.20E,30.00N70.30E,30.00N70.40E,30.00N70.50E,30.00N70.60E,30.00N70.70E,30.00N70.80E,30.00N70.90E,30.00N71.00E,30.00N71.10E,30.00N71.20E,30.00N71.30E,30.00N71.40E,30.00N71.50E,30.00N71.60E,30.00N71.70E,30.00N71.80E,30.00N71.90E,30.00N72.00E,30.00N72.10E,30.00N72.20E,30.00N72.30E,30.00N72.40E,30.00N72.50E,30.00N72.60E,30.00N72.70E,30.00N72.80E,30.00N72.90E,30.00N73.00E,30.00N73.10E,30.00N73.20E,30.00N73.30E,30.00N73.40E,30.00N73.50E,30.00N73.60E,30.00N73.70E,30.00N73.80E,30.00N73.90E,30.00N74.00E,30.00N74.10E,30.00N74.20E,30.00N74.30E,30.00N74.40E,30.00N74.50E,30.00N74.60E,30.00N74.70E,30.00N74.80E,30.00N74.90E,30.00N75.00E,30.00N75.10E,30.00N75.20E,30.00N75.30E,30.00N75.40E,30.00N75.50E,30.00N75.60E,30.00N75.70E,30.00N75.80E,30.00N75.90E,30.00N76.00E,30.00N76.10E,30.00N76.20E,30.00N76.30E,30.00N76.40E,30.00N76.50E,30.00N76.60E,30.00N76.70E,30.00N76.80E,30.00N76.90E,30.00N77.00E,30.00N77.10E,30.00N77.20E,30.00N77.30E,30.00N77.40E,30.00N77.50E,30.00N77.60E,30.00N77.70E,30.00N77.80E,30.00N77.90E,30.00N78.00E,30.00N78.10E,30.00N78.20E,30.00N78.30E,30.00N78.40E,30.00N78.50E,30.00N78.60E,30.00N78.70E,30.00N78.80E,30.00N78.90E,30.00N79.00E,30.00N79.10E,30.00N79.20E,30.00N79.30E,30.00N79.40E,30.00N79.50E,30.00N79.60E,30.00N79.70E,30.00N79.80E,30.00N79.90E,30.00N80.00E,30.00N80.10E,30.00N80.20E,30.00N80.30E,30.00N80.40E,30.00N80.50E,30.00N80.60E,30.00N80.70E,30.00N80.80E,30.00N80.90E,30.00N81.00E,30.00N81.10E,30.00N81.20E,30.00N81.30E,30.00N81.40E,30.00N81.50E,30.00N81.60E,30.00N81.70E,30.00N81.80E,30.00N81.90E,30.00N82.00E,30.00N82.10E,30.00N82.20E,30.00N82.30E,30.00N82.40E,30.00N82.50E,30.00N82.60E,30.00N82.70E,30.00N82.80E,30.00N82.90E,30.00N83.00E,30.00N83.10E,30.00N83.20E,30.00N83.30E,30.00N83.40E,30.00N83.50E,30.00N83.60E,30.00N83.70E,30.00N83.80E,30.00N83.90E,30.00N84.00E,30.00N84.10E,30.00N84.20E,30.00N84.30E,30.00N84.40E,30.00N84.50E,30.00N84.60E,30.00N84.70E,30.00N84.80E,30.00N84.90E,30.00N85.00E,30.00N85.10E,30.00N85.20E,30.00N85.30E,30.00N85.40E,30.00N85.50E,30.00N85.60E,30.00N85.70E,30.00N85.80E,30.00N85.90E,30.00N86.00E,30.00N86.10E,30.00N86.20E,30.00N86.30E,30.00N86.40E,30.00N86.50E,30.00N86.60E,30.00N86.70E,30.00N86.80E,30.00N86.90E,30.00N87.00E,30.00N87.10E,30.00N87.20E,30.00N87.30E,30.00N87.40E,30.00N87.50E,30.00N87.60E,30.00N87.70E,30.00N87.80E,30.00N87.90E,30.00N88.00E,30.00N88.10E,30.00N88.20E,30.00N88.30E,30.00N88.40E,30.00N88.50E,30.00N88.60E,30.00N88.70E,30.00N88.80E,30.00N88.90E,30.00N89.00E,30.00N89.10E,30.00N89.20E,30.00N89.30E,30.00N89.40E,30.00N89.50E,30.00N89.60E,30.00N89.70E,30.00N89.80E,30.00N89.90E,30.00N90.00E,30.00N90.10E,30.00N90.20E,30.00N90.30E,30.00N90.40E,30.00N90.50E,30.00N90.60E,30.00N90.70E,30.00N90.80E,30.00N90.90E,30.00N91.00E,30.00N91.10E,30.00N91.20E,30.00N91.30E,30.00N91.40E,30.00N91.50E,30.00N91.60E,30.00N91.70E,30.00N91.80E,30.00N91.90E,30.00N92.00E,30.00N92.10E,30.00N92.20E,30.00N92.30E,30.00N92.40E,30.00N92.50E,30.00N92.60E,30.00N92.70E,30.00N92.80E,30.00N92.90E,30.00N93.00E,30.00N93.10E,30.00N93.20E,30.00N93.30E,30.00N93.40E,30.00N93.50E,30.00N93.60E,30.00N93.70E,30.00N93.80E,30.00N93.90E,30.00N94.00E,30.00N94.10E,30.00N94.20E,30.00N94.30E,30.00N94.40E,30.00N94.50E,30.00N94.60E,30.00N94.70E,30.00N94.80E,30.00N94.90E,30.00N95.00E,30.00N95.10E,30.00N95.20E,30.00N95.30E,30.00N95.40E,30.00N95.50E,30.00N95.60E,30.00N95.70E,30.00N95.80E,30.00N95.90E,30.00N96.00E,30.00N96.10E,30.00N96.20E,30.00N96.30E,30.00N96.40E,30.00N96.50E,30.00N96.60E,30.00N96.70E,30.00N96.80E,30.00N96.90E,30.00N97.00E,30.00N97.10E,30.00N97.20E,30.00N97.30E,30.00N97.40E,30.00N97.50E,30.00N97.60E,30.00N97.70E,30.00N97.80E,30.00N97.90E,30.00N98.00E,30.00N98.10E,30.00N98.20E,30.00N98.30E,30.00N98.40E,30.00N98.50E,30.00N98.60E,30.00N98.70E,30.00N98.80E,30.00N98.90E,30.00N99.00E,30.00N99.10E,30.00N99.20E,30.00N99.30E,30.00N99.40E,30.00N99.50E,30.00N99.60E,30.00N99.70E,30.00N99.80E,30.00N99.90E,30.00N100.00E,30.00N100.00E
29.90N60.00E,29.90N60.10E,29.90N60.20E,29.90N60.30E,29.90N60.40E,29.90N60.50E,29.90N60.60E,29.90N60.70E,29.90N60.80E,29.90N60.90E,29.90N61.00E,29.90N61.10E,29.90N61.20E,29.90N61.30E,29.90N61.40E,29.90N61.50E,29.90N61.60E,29.90N61.70E,29.90N61.80E,29.90N61.90E,29.90N62.00E,29.90N62.10E,29.90N62.20E,29.90N62.30E,29.90N62.40E,29.90N62.50E,29.90N62.60E,29.90N62.70E,29.90N62.80E,29.90N62.90E,29.90N63.00E,29.90N63.10E,29.90N63.20E,29.90N63.30E,29.90N63.40E,29.90N63.50E,29.90N63.60E,29.90N63.70E,29.90N63.80E,29.90N63.90E,29.90N64.00E,29.90N64.10E,29.90N64.20E,29.90N64.30E,29.90N64.40E,29.90N64.50E,29.90N64.60E,29.90N64.70E,29.90N64.80E,29.90N64.90E,29.90N65.00E,29.90N65.10E,29.90N65.20E,29.90N65.30E,29.90N65.40E,29.90N65.50E,29.90N65.60E,29.90N65.70E,29.90N65.80E,29.90N65.90E,29.90N66.00E,29.90N66.10E,29.90N66.20E,29.90N66.30E,29.90N66.40E,29.90N66.50E,29.90N66.60E,29.90N66.70E,29.90N66.80E,29.90N66.90E,29.90N67.00E,29.90N67.10E,29.90N67.20E,29.90N67.30E,29.90N67.40E,29.90N67.50E,29.90N67.60E,29.90N67.70E,29.90N67.80E,29.90N67.90E,29.90N68.00E,29.90N68.10E,29.90N68.20E,29.90N68.30E,29.90N68.40E,29.90N68.50E,29.90N68.60E,29.90N68.70E,29.90N68.80E,29.90N68.90E,29.90N69.00E,29.90N69.10E,29.90N69.20E,29.90N69.30E,29.90N69.40E,29.90N69.50E,29.90N69.60E,29.90N69.70E,29.90N69.80E,29.90N69.90E,29.90N70.00E,29.90N70.10E,29.90N70.20E,29.90N70.30E,29.90N70.40E,29.90N70.50E,29.90N70.60E,29.90N70.70E,29.90N70.80E,29.90N70.90E,29.90N71.00E,29.90N71.10E,29.90N71.20E,29.90N71.30E,29.90N71.40E,29.90N71.50E,29.90N71.60E,29.90N71.70E,29.90N71.80E,29.90N71.90E,29.90N72.00E,29.90N72.10E,29.90N72.20E,29.90N72.30E,29.90N72.40E,29.90N72.50E,29.90N72.60E,29.90N72.70E,29.90N72.80E,29.90N72.90E,29.90N73.00E,29.90N73.10E,29.90N73.20E,29.90N73.30E,29.90N73.40E,29.90N73.50E,29.90N73.60E,29.90N73.70E,29.90N73.80E,29.90N73.90E,29.90N74.00E,29.90N74.10E,29.90N74.20E,29.90N74.30E,29.90N74.40E,29.90N74.50E,29.90N74.60E,29.90N74.70E,29.90N74.80E,29.90N74.90E,29.90N75.00E,29.90N75.10E,29.90N75.20E,29.90N75.30E,29.90N75.40E,29.90N75.50E,29.90N75.60E,29.90N75.70E,29.90N75.80E,29.90N75.90E,29.90N76.00E,29.90N76.10E,29.90N76.20E,29.90N76.30E,29.90N76.40E,29.90N76.50E,29.90N76.60E,29.90N76.70E,29.90N76.80E,29.90N76.90E,29.90N77.00E,29.90N77.10E,29.90N77.20E,29.90N77.30E,29.90N77.40E,29.90N77.50E,29.90N77.60E,29.90N77.70E,29.90N77.80E,29.90N77.90E,29.90N78.00E,29.90N78.10E,29.90N78.20E,29.90N78.30E,29.90N78.40E,29.90N78.50E,29.90N78.60E,29.90N78.70E,29.90N78.80E,29.90N78.90E,29.90N79.00E,29.90N79.10E,29.90N79.20E,29.90N79.30E,29.90N79.40E,29.90N79.50E,29.90N79.60E,29.90N79.70E,29.90N79.80E,29.90N79.90E,29.90N80.00E,29.90N80.10E,29.90N80.20E,29.90N80.30E,29.90N80.40E,29.90N80.50E,29.90N80.60E,29.90N80.70E,29.90N80.80E,29.90N80.90E,29.90N81.00E,29.90N81.10E,29.90N81.20E,29.90N81.30E,29.90N81.40E,29.90N81.50E,29.90N81.60E,29.90N81.70E,29.90N81.80E,29.90N81.90E,29.90N82.00E,29.90N82.10E,29.90N82.20E,29.90N82.30E,29.90N82.40E,29.90N82.50E,29.90N82.60E,29.90N82.70E,29.90N82.80E,29.90N82.90E,29.90N83.00E,29.90N83.10E,29.90N83.20E,29.90N83.30E,29.90N83.40E,29.90N83.50E,29.90N83.60E,29.90N83.70E,29.90N83.80E,29.90N83.90E,29.90N84.00E,29.90N84.10E,29.90N84.20E,29.90N84.30E,29.90N84.40E,29.90N84.50E,29.90N84.60E,29.90N84.70E,29.90N84.80E,29.90N84.90E,29.90N85.00E,29.90N85.10E,29.90N85.20E,29.90N85.30E,29.90N85.40E,29.90N85.50E,29.90N85.60E,29.90N85.70E,29.90N85.80E,29.90N85.90E,29.90N86.00E,29.90N86.10E,29.90N86.20E,29.90N86.30E,29.90N86.40E,29.90N86.50E,29.90N86.60E,29.90N86.70E,29.90N86.80E,29.90N86.90E,29.90N87.00E,29.90N87.10E,29.90N87.20E,29.90N87.30E,29.90N87.40E,29.90N87.50E,29.90N87.60E,29.90N87.70E,29.90N87.80E,29.90N87.90E,29.90N88.00E,29.90N88.10E,29.90N88.20E,29.90N88.30E,29.90N88.40E,29.90N88.50E,29.90N88.60E,29.90N88.70E,29.90N88.80E,29.90N88.90E,29.90N89.00E,29.90N89.10E,29.90N89.20E,29.90N89.30E,29.90N89.40E,29.90N89.50E,29.90N89.60E,29.90N89.70E,29.90N89.80E,29.90N89.90E,29.90N90.00E,29.90N90.10E,29.90N90.20E,29.90N90.30E,29.90N90.40E,29.90N90.50E,29.90N90.60E,29.90N90.70E,29.90N90.80E,29.90N90.90E,29.90N91.00E,29.90N91.10E,29.90N91.20E,29.90N91.30E,29.90N91.40E,29.90N91.50E,29.90N91.60E,29.90N91.70E,29.90N91.80E,29.90N91.90E,29.90N92.00E,29.90N92.10E,29.90N92.20E,29.90N92.30E,29.90N92.40E,29.90N92.50E,29.90N92.60E,29.90N92.70E,29.90N92.80E,29.90N92.90E,29.90N93.00E,29.90N93.10E,29.90N93.20E,29.90N93.30E,29.90N93.40E,29.90N93.50E,29.90N93.60E,29.90N93.70E,29.90N93.80E,29.90N93.90E,29.90N94.00E,29.90N94.10E,29.90N94.20E,29.90N94.30E,29.90N94.40E,29.90N94.50E,29.90N94.60E,29.90N94.70E,29.90N94.80E,29.90N94.90E,29.90N95.00E,29.90N95.10E,29.90N95.20E,29.90N95.30E,29.90N95.40E,29.90N95.50E,29.90N95.60E,29.90N95.70E,29.90N95.80E,29.90N95.90E,29.90N96.00E,29.90N96.10E,29.90N96.20E,29.90N96.30E,29.90N96.40E,29.90N96.50E,29.90N96.60E,29.90N96.70E,29.90N96.80E,29.90N96.90E,29.90N97.00E,29.90N97.10E,29.90N97.20E,29.90N97.30E,29.90N97.40E,29.90N97.50E,29.90N97.60E,29.90N97.70E,29.90N97.80E,29.90N97.90E,29.90N98.00E,29.90N98.10E,29.90N98.20E,29.90N98.30E,29.90N98.40E,29.90N98.50E,29.90N98.60E,29.90N98.70E,29.90N98.80E,29.90N98.90E,29.90N99.00E,29.90N99.10E,29.90N99.20E,29.90N99.30E,29.90N99.40E,29.90N99.50E,29.90N99.60E,29.90N99.70E,29.90N99.80E,29.90N99.90E,29.90N100.00E,29.90N100.00E
29.80N60.00E,29.80N60.10E,29.80N60.20E,29.80N60.30E,29.80N60.40E,29.80N60.50E,29.80N60.60E,29.80N60.70E,29.80N60.80E,29.80N60.90E,29.80N61.00E,29.80N61.10E,29.80N61.20E,29.80N61.30E,29.80N61.40E,29.80N61.50E,29.80N61.60E,29.80N61.70E,29.80N61.80E,29.80N61.90E,29.80N62.00E,29.80N62.10E,29.80N62.20E,29.80N62.30E,29.80N62.40E,29.80N62.50E,29.80N62.60E,29.80N62.70E,29.80N62.80E,29.80N62.90E,29.80N63.00E,29.80N63.10E,29.80N63.20E,29.80N63.30E,29.80N63.40E,29.80N63.50E,29.80N63.60E,29.80N63.70E,29.80N63.80E,29.80N63.90E,29.80N64.00E,29.80N64.10E,29.80N64.20E,29.80N64.30E,29.80N64.40E,29.80N64.50E,29.80N64.60E,29.80N64.70E,29.80N64.80E,29.80N64.90E,29.80N65.00E,29.80N65.10E,29.80N65.20E,29.80N65.30E,29.80N65.40E,29.80N65.50E,29.80N65.60E,29.80N65.70E,29.80N65.80E,29.80N65.90E,29.80N66.00E,29.80N66.10E,29.80N66.20E,29.80N66.30E,29.80N66.40E,29.80N66.50E,29.80N66.60E,29.80N66.70E,29.80N66.80E,29.80N66.90E,29.80N67.00E,29.80N67.10E,29.80N67.20E,29.80N67.30E,29.80N67.40E,29.80N67.50E,29.80N67.60E,29.80N67.70E,29.80N67.80E,29.80N67.90E,29.80N68.00E,29.80N68.10E,29.80N68.20E,29.80N68.30E,29.80N68.40E,29.80N68.50E,29.80N68.60E,29.80N68.70E,29.80N68.80E,29.80N68.90E,29.80N69.00E,29.80N69.10E,29.80N69.20E,29.80N69.30E,29.80N69.40E,29.80N69.50E,29.80N69.60E,29.80N69.70E,29.80N69.80E,29.80N69.90E,29.80N70.00E,29.80N70.10E,29.80N70.20E,29.80N70.30E,29.80N70.40E,29.80N70.50E,29.80N70.60E,29.80N70.70E,29.80N70.80E,29.80N70.90E,29.80N71.00E,29.80N71.10E,29.80N71.20E,29.80N71.30E,29.80N71.40E,29.80N71.50E,29.80N71.60E,29.80N71.70E,29.80N71.80E,29.80N71.90E,29.80N72.00E,29.80N72.10E,29.80N72.20E,29.80N72.30E,29.80N72.40E,29.80N72.50E,29.80N72.60E,29.80N72.70E,29.80N72.80E,29.80N72.90E,29.80N73.00E,29.80N73.10E,29.80N73.20E,29.80N73.30E,29.80N73.40E,29.80N73.50E,29.80N73.60E,29.80N73.70E,29.80N73.80E,29.80N73.90E,29.80N74.00E,29.80N74.10E,29.80N74.20E,29.80N74.30E,29.80N74.40E,29.80N74.50E,29.80N74.60E,29.80N74.70E,29.80N74.80E,29.80N74.90E,29.80N75.00E,29.80N75.10E,29.80N75.20E,29.80N75.30E,29.80N75.40E,29.80N75.50E,29.80N75.60E,29.80N75.70E,29.80N75.80E,29.80N75.90E,29.80N76.00E,29.80N76.10E,29.80N76.20E,29.80N76.30E,29.80N76.40E,29.80N76.50E,29.80N76.60E,29.80N76.70E,29.80N76.80E,29.80N76.90E,29.80N77.00E,29.80N77.10E,29.80N77.20E,29.80N77.30E,29.80N77.40E,29.80N77.50E,29.80N77.60E,29.80N77.70E,29.80N77.80E,29.80N77.90E,29.80N78.00E,29.80N78.10E,29.80N78.20E,29.80N78.30E,29.80N78.40E,29.80N78.50E,29.80N78.60E,29.80N78.70E,29.80N78.80E,29.80N78.90E,29.80N79.00E,29.80N79.10E,29.80N79.20E,29.80N79.30E,29.80N79.40E,29.80N79.50E,29.80N79.60E,29.80N79.70E,29.80N79.80E,29.80N79.90E,29.80N80.00E,29.80N80.10E,29.80N80.20E,29.80N80.30E,29.80N80.40E,29.80N80.50E,29.80N80.60E,29.80N80.70E,29.80N80.80E,29.80N80.90E,29.80N81.00E,29.80N81.10E,29.80N81.20E,29.80N81.30E,29.80N81.40E,29.80N81.50E,29.80N81.60E,29.80N81.70E,29.80N81.80E,29.80N81.90E,29.80N82.00E,29.80N82.10E,29.80N82.20E,29.80N82.30E,29.80N82.40E,29.80N82.50E,29.80N82.60E,29.80N82.70E,29.80N82.80E,29.80N82.90E,29.80N83.00E,29.80N83.10E,29.80N83.20E,29.80N83.30E,29.80N83.40E,29.80N83.50E,29.80N83.60E,29.80N83.70E,29.80N83.80E,29.80N83.90E,29.80N84.00E,29.80N84.10E,29.80N84.20E,29.80N84.30E,29.80N84.40E,29.80N84.50E,29.80N84.60E,29.80N84.70E,29.80N84.80E,29.80N84.90E,29.80N85.00E,29.80N85.10E,29.80N85.20E,29.80N85.30E,29.80N85.40E,29.80N85.50E,29.80N85.60E,29.80N85.70E,29.80N85.80E,29.80N85.90E,29.80N86.00E,29.80N86.10E,29.80N86.20E,29.80N86.30E,29.80N86.40E,29.80N86.50E,29.80N86.60E,29.80N86.70E,29.80N86.80E,29.80N86.90E,29.80N87.00E,29.80N87.10E,29.80N87.20E,29.80N87.30E,29.80N87.40E,29.80N87.50E,29.80N87.60E,29.80N87.70E,29.80N87.80E,29.80N87.90E,29.80N88.00E,29.80N88.10E,29.80N88.20E,29.80N88.30E,29.80N88.40E,29.80N88.50E,29.80N88.60E,29.80N88.70E,29.80N88.80E,29.80N88.90E,29.80N89.00E,29.80N89.10E,29.80N89.20E,29.80N89.30E,29.80N89.40E,29.80N89.50E,29.80N89.60E,29.80N89.70E,29.80N89.80E,29.80N89.90E,29.80N90.00E,29.80N90.10E,29.80N90.20E,29.80N90.30E,29.80N90.40E,29.80N90.50E,29.80N90.60E,29.80N90.70E,29.80N90.80E,29.80N90.90E,29.80N91.00E,29.80N91.10E,29.80N91.20E,29.80N91.30E,29.80N91.40E,29.80N91.50E,29.80N91.60E,29.80N91.70E,29.80N91.80E,29.80N91.90E,29.80N92.00E,29.80N92.10E,29.80N92.20E,29.80N92.30E,29.80N92.40E,29.80N92.50E,29.80N92.60E,29.80N92.70E,29.80N92.80E,29.80N92.90E,29.80N93.00E,29.80N93.10E,29.80N93.20E,29.80N93.30E,29.80N93.40E,29.80N93.50E,29.80N93.60E,29.80N93.70E,29.80N93.80E,29.80N93.90E,29.80N94.00E,29.80N94.10E,29.80N94.20E,29.80N94.30E,29.80N94.40E,29.80N94.50E,29.80N94.60E,29.80N94.70E,29.80N94.80E,29.80N94.90E,29.80N95.00E,29.80N95.10E,29.80N95.20E,29.80N95.30E,29.80N95.40E,29.80N95.50E,29.80N95.60E,29.80N95.70E,29.80N95.80E,29.80N95.90E,29.80N96.00E,29.80N96.10E,29.80N96.20E,29.80N96.30E,29.80N96.40E,29.80N96.50E,29.80N96.60E,29.80N96.70E,29.80N96.80E,29.80N96.90E,29.80N97.00E,29.80N97.10E,29.80N97.20E,29.80N97.30E,29.80N97.40E,29.80N97.50E,29.80N97.60E,29.80N97.70E,29.80N97.80E,29.80N97.90E,29.80N98.00E,29.80N98.10E,29.80N98.20E,29.80N98.30E,29.80N98.40E,29.80N98.50E,29.80N98.60E,29.80N98.70E,29.80N98.80E,29.80N98.90E,29.80N99.00E,29.80N99.10E,29.80N99.20E,29.80N99.30E,29.80N99.40E,29.80N99.50E,29.80N99.60E,29.80N99.70E,29.80N99.80E,29.80N99.90E,29.80N100.00E,29.80N100.00E
